Unnamed: 0,title,author
50,12가지 인생의 법칙 : 혼돈의 해독제,조던 B 피터슨
51,바다거북 수프를 끓이자,미야시타 나츠
52,한 컷의 인문학,권기복
53,빈곤이 오고 있다,신명호
54,아무도 나에게 물어보지 않았던 것들,정진
55,조용한 희망,스테퍼니 랜드
56,도파민네이션,애나 렘키
57,"낭만 강아지 봉봉 . 1 , 똥개 아니고 번개",홍민정
58,뉴욕 정신과 의사의 사람 도서관,나종호
59,"닌니와 악몽가게 . 2 , 흡혈귀의 사라진 이빨",막달레나 하이
60,닥터 K의 이상한 해부학 실험실 . 2,애덤 케이
61,"디즈니 기묘한 소원 . 1 , 새로운 친구들",베라 스트레인지
62,어금니 깨물기,김소연
63,통찰지능,최연호
64,세상의 모든 X,문환구
65,사람이 염치가 있어야지,이주연
66,아직 트라우마를 겪고 있지만,하강산
67,네가 나보다 잘 살았으면 좋겠다,박윤미
68,뭐든 해 봐요,김동현
69,럭키 드로우,드로우앤드류
70,게으르다는 착각,데번 프라이스
71,마음이 하는 일,오지은
72,코코 샤넬 세기의 아이콘,론다 개어릭
73,늑대가 온다,최현명
74,우리 술 한주 기행,백웅재
75,맹랑한 국어사전 탐방기,박일환
76,떠난 후에 남겨진 것들,김새별
77,르코르뷔지에,신승철
78,퀸즐랜드 자매로드,황선우
79,세상에서 가장 짧은 한국사,김재원
80,세븐 테크,김미경
81,기분을 관리하면 인생이 관리된다,김다슬
82,굿모닝 해빗,멜 로빈스
83,수상한 놀이터,박현숙
84,"아홉 살 관계 사전. [2], 어울림",김정
85,세금 내는 아이들의 생생 경제 교실 . 1,최재훈
86,꽤 괜찮은 해피엔딩,이지선
87,감정의 미래,케이틀린 유골릭 필립스
88,개구리 수프,아잔 브라흐마
89,"파이아키아, 이야기가 남았다",이동진
90,풍경의 깊이,강요배
91,조선 최고 꾼,김정민
92,감정 어휘,유선경
93,내가 살인자의 마음을 읽는 이유,권일용
94,언제나 밤인 세계,하지은
95,무엇이 옳은가,후안 엔리케스
96,응급실의 소크라테스,곽경훈
97,물고기는 존재하지 않는다,룰루 밀러
98,교양이 쌓일 만두 하지?,팀 교양만두
99,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드
100,어린이 저작권 교실,임채영
101,"아홉 살 관계 사전 . [1] , 자존감",김정
102,"빨강, 하양 그리고 완전한 하나",라자리 라로카
103,비밀 숙제,김다노
104,불붙은 링을 뛰어넘는 소년,허교범
105,당신은 결국 무엇이든 해내는 사람,김상현
106,인간관계 착취,훙페이윈
107,새롭게 만나는 한국 신화,이경덕
108,극장에 대하여,이승엽
109,여름비,마르그리트 뒤라스
110,"시티 픽션, 지금 어디에 살고 계십니까?",조남주
111,고도일보 송가을인데요,송경화
112,피버 드림,사만타 슈웨블린
113,"엉뚱하지만 과학입니다 . 5 , 오줌을 참으면 생기는 일",원종우
114,나도 세금 내는 아이가 될래요!,옥효진
115,첫 문장의 힘,샌드라 거스
116,"아홉 살 돈 습관 사전. [1], 생활편",박정현
117,아홉 살 돈 습관 사전 : 학습편,박정현
118,"우리들의 MBTI. 2, 친구 관계",조수연
119,"닌니와 악몽 가게 . 1 , 끔찍한 간지럼 가루의 비밀",막달레나 하이
120,"낭만 강아지 봉봉 . 2 , 진짜 주인 찾기",홍민정
121,오늘 밤은 굶고 자야지,박상영
122,피아노 이야기,러셀 셔먼
123,문해력 공부,김종원
124,50의 품격은 말투로 완성된다,김범준
125,진실의 흑역사,톰 필립스
126,살아가듯 일하다,나카무라 겐타
127,"난처한 경제 이야기 . 2 , 시장과 교역 편-우리는 왜 사고팔까?",송병건
128,꽃샘바람에 흔들린다면 너는 꽃,류시화
129,(최재천의)공부,최재천
130,"어느 날, 내 죽음에 네가 들어왔다",세이카 료겐
131,미끄러지는 말들,백승주
132,불안의 철학,기시미 이치로
133,어른의 일기,김애리
134,애쓰지 않아도,최은영
135,전쟁일기,올가 그레벤니크
136,역행자,자청
137,"어서 오세요, 휴남동서점입니다",황보름
138,저만치 혼자서,김훈
139,내가 왜 계속 살아야 합니까,윌 듀런트
140,(마음을 움직이는) 향기의 힘,로베르트 뮐러 그뤼노브
141,번역은 연애와 같아서,이상원
142,괴물 과학 안내서,곽재식
143,(믿긴 싫지만 너무 궁금한) 미신 이야기,샐리 쿨타드
144,변화하는 세계 질서,레이 달리오
145,읽으면 수학천재가 되는 만화책 : 초등A,Team Story G
146,"아무튼, 노래",이슬아
147,너무 잘하려고 애쓰지 마라,나태주
148,밤의 끝을 알리는,심규선
149,나의 투자는 새벽 4시에 시작된다,유목민
150,언어의 역사,데이비드 크리스털
151,신도 주사위 놀이를 한다,이언 스튜어트
152,오늘도 쾌변,박준형
153,SF 유니버스를 여행하는 과학 이야기,전홍식
154,식물에게 배우는 네 글자,이선
155,깨어있는 부모,셰팔리 차바리
156,귀신도 반한 숲속 라면 가게,이서영
157,교실에서 세계 시민 되기 : 초등 편,강혜미
158,뭔말 과학 용어 200 . 2,장성규
159,고래 233마리,곽재식
160,빅토리 노트,이옥선
161,레슨 인 케미스트리 . 1,보니 가머스
162,인플레이션에서 살아남기,오건영
163,(어맛!) 뉴스 어휘 맛집,배정진
164,"깊은 밤 필통 안에서 . 2 , 까만 연필의 정체",길상효
165,페스트,알베르 카뮈
166,"엉뚱하지만 과학입니다 . 2 , 진짜 발 냄새를 찾아라!",원종우
167,"엉뚱하지만 과학입니다 . 1 , 개가 똥을 누는 방향은?",원종우
168,"똥볶이 할멈 . 3 , 나쁜 어린이는 없다",강효미
169,"디즈니 기묘한 소원 . 2 , 최고의 아이",베라 스트레인지
170,오거와 고아들,켈리 반힐
171,뭔말 과학 용어 200 . 1,장성규
172,루호,채은하
173,건방이의 속담 수련기,천효정
174,"엉뚱하지만 과학입니다 . 4 , 우리 화성으로 이사 갈래?",원종우
175,법 만드는 아이들,옥효진
176,"벌거벗은 세계사 . 1 , 알렉산드로스 대왕과 진시황제의 통일 제국",이현희
177,우리를 속이는 말들,박홍순
178,노래가 필요한 날,김창기
179,"빌트, 우리가 지어 올린 모든 것들의 과학",로마 아그라왈
180,"엉뚱하지만 과학입니다 . 3 , 방귀로 말한다고?",원종우
181,걱정을 없애주는 마카롱,성주희
182,"고양이 해결사 깜냥 . 1 , 아파트의 평화를 지켜라!",홍민정
183,우리들의 MBTI,조수연
184,"똥볶이 할멈 . 2 , 어른들의 들켜야 할 비밀",강효미
185,"똥볶이 할멈 . 1 , 아이들을 지켜라!",강효미
186,동네 의사와 기본소득,정상훈
187,(곽재식의) 세균 박람회,곽재식
188,사랑 앞에 두 번 깨어나는,오성은
189,목소리를 드릴게요,정세랑
190,팩트풀니스,한스 로슬링
191,기분 가게,도키 나쓰키
192,노랜드,천선란
193,지적 대화를 위한 넓고 얕은 지식 : 제로편,채사장
194,친절한 대학의 다시 배우는 영어 교실 . 1,이상현
195,데미안,헤르만 헤세
196,(스타강사 사경인 회계사의) 재무제표 모르면 주식투자 절대로 하지마라,사경인
197,공간이 만든 공간,유현준
198,143층 나무 집,앤디 그리피스
199,이러다 지구에 플라스틱만 남겠어,강신호
200,지구에서 스테이,김혜순
201,영어 회화의 결정적 단어들,서영조
202,예의 없는 친구들을 대하는 슬기로운 말하기 사전,김원아
203,소원 코딱지를 드릴게요,이승민
204,천 개의 뇌,제프 호킨스
205,(오은영 박사가 전하는) 금쪽이들의 진짜 마음속,오은영
206,집에서 찾아가는 서울의 보물,권동현
207,녹나무의 파수꾼,히가시노 게이고
208,짱깨주의의 탄생,김희교
209,더 찬스,김영익
210,브라질에 비가 내리면 스타벅스 주식을 사라,피터 나바로
211,나로서 충분히 괜찮은 사람,김재식
212,"난처한 경제 이야기 . 1 , 기본 편-경제와 친해지는 준비 운동",송병건
213,"읽으면 수학천재가 되는 만화책. [2], 초등B",Team Story G
214,(수학 잘하는 아이를 만드는) 초등수학 심화 공부법,류승재
215,(백만장자)시크릿,하브 에커
216,숨,테드 창
217,김경일의 지혜로운 인간생활,김경일
218,빌 게이츠 넥스트 팬데믹을 대비하는 법,빌 게이츠
219,수상한 중고상점,미치오 슈스케
220,(초등학생을 위한 똑똑한) 좋은 뉴스,라슈미 시르데슈판드
221,(읽으면서 바로 써먹는) 어린이 한국사 퀴즈. 1,한날
222,둥실이네 떡집,김리리
223,너의 하늘을 보아,박노해
224,류,히가시야마 아키라
225,나는 둔감하게 살기로 했다,와타나베 준이치
226,우리가 세상을 바꿀 거예요,공윤희
227,오십의 주역공부,김동완
228,"아무튼, 피아노",김겨울
229,혼공하는 아이들,이상학
230,달콩이네 떡집,김리리
231,호호호,윤가은
232,(읽으면서 바로 써먹는) 어린이 한국사 퀴즈 . 2,한날
233,"예순 살, 나는 또 깨꽃이 되어",이순자
234,기적일지도 몰라,최희서
235,행성 . 2,베르나르 베르베르
236,무례한 사람에게 휘둘리지 않는 법,정재훈
237,"(흔한남매) 이상한 나라의 고전 읽기 . 1 , 춘향전·토끼전·옹고집전",최재훈
238,삶이 허기질 때 나는 교양을 읽는다,지식 브런치
239,세상의 마지막 기차역,무라세 다케시
240,흔한남매 오해요,흔한남매
241,닥터 K의 이상한 해부학 실험실 . 1,애덤 케이
242,행성 . 1,베르나르 베르베르
243,헤르만 헤세의 책이라는 세계,헤르만 헤세
244,H마트에서 울다,미셸 자우너
0,하마터면 열심히 살 뻔했다 : 야매 득도 에세이,하완
1,기분이 태도가 되지 않게 : 기분 따라 행동하다 손해 보는 당신을 위한 심리 수업,레몬심리
2,2030 축의 전환 : 새로운 부와 힘을 탄생시킬 8가지 거대한 물결,마우로 기옌
3,"우연히, 웨스 앤더슨 : 그와 함께 여행하면 온 세상이 영화가 된다",월리 코발
4,"거대한 가속 : 포스트 코로나 시대, 우리 앞에 다가온 역사의 변곡점",스콧 갤러웨이
5,"권력의 심리학 : 누가 권력을 쥐고, 권력은 우리를 어떻게 바꾸는가",브라이언 클라스
