Unnamed: 0,title,author
110,거의 모든 행동 표현의 영어,서영조
111,10배의 법칙 : 성공과 실패를 가르는 유일한 차이,그랜트 카돈
112,세 가지 소원,박완서
113,눈감지 마라 : 이기호 연작 짧은 소설,이기호
114,떨림과 울림 : 물리학자 김상욱이 바라본 우주와 세계 그리고 우리,김상욱
115,"일어날 일은 일어난다 : 양자역학, 창발하는 우주, 생명, 의미",박권
116,"메타버스 사피엔스 : 또 하나의 현실, 두 개의 삶, 디지털 대항해시대의 인류",김대식
117,침묵의 봄,레이첼 카슨
118,"나는 간호사, 사람입니다 : 단 한번의 실수도 허락하지 않는 삶을 사는 사람들의 이야기",김현아
119,포노 사피엔스 = Phono sapiens : 스마트폰이 낳은 신인류,최재붕
120,시간은 흐르지 않는다 : 우리의 직관 너머 물리학의 눈으로 본 우주의 시간,카를로 로벨리
121,우리의 불행은 당연하지 않습니다 : 대한민국의 불편한 진실을 직시하다,김누리
122,(지적이고 아름다운 삶을 위한) 라틴어 수업,한동일
123,"골든 아워 : 생과 사의 경계, 중증외상센터의 기록. 2, 2013-2018",이국종
124,"믿는 인간에 대하여 : 라틴어 수업, 두 번째 시간",한동일
125,"1일 1로그 100일 완성 IT 지식 : 하드웨어, 소프트웨어, 통신, 데이터, 4가지 IT 근육으로 디지털 문해력 기르기",브라이언 W. 커니핸
126,"유럽 최후의 대국, 우크라이나의 역사 : 장대한 동슬라브 종가의 고난에 찬 대서사시",구로카와 유지
127,악의 : 히가시노 게이고 장편소설,히가시노 게이고
128,붉은 손가락,히가시노 게이고
129,질병의 연금술 : 중독과 해독을 넘나드는 독성학의 세계,존 와이스너
130,식물의 책 : 식물세밀화가 이소영의 도시식물 이야기,이소영
131,동쪽 빙하의 부엉이,조너선 C. 슬래트
132,다만 빛과 그림자가 그곳에 있었고,정멜멜
133,왜 나는 너를 사랑하는가,알랭 드 보통
134,메타버스 비긴즈 = Metaverse begins : 인간x공간x시간의 혁명,이승환
135,세계사를 바꾼 전염병 13가지,제니퍼 라이트
136,부의 인문학 : 슈퍼리치의 서재에서 찾아낸 부자의 길,브라운스톤
137,말의 품격 : 말과 사람과 품격에 대한 생각들,이기주
138,적정한 삶 = Appropriate life : 불안의 시대를 살아가는 우리에게 건네는 인지심리학의 위로와 통찰,김경일
139,상처받지 않는 영혼 : 내면의 자유를 위한 놓아 보내기 연습,마이클 A. 싱어
140,돌이킬 수 없는 약속 : 야쿠마루 가쿠 장편소설,야쿠마루 가쿠
141,봉제인형 살인사건 : 다니엘 콜 장편소설,다니엘 콜
142,모순 : 양귀자 장편소설,양귀자
143,레슨 인 케미스트리 : 보니 가머스 장편소설. 1,보니 가머스
144,레슨 인 케미스트리 : 보니 가머스 장편소설. 2,보니 가머스
145,어둠의 눈 : 딘 쿤츠 장편소설,딘 쿤츠
146,마음이 흐르는 대로 : 삶이 흔들릴 때 우리가 바라봐야 할 단 한 가지,지나영
147,불안한 사람들 : 프레드릭 배크만 장편소설,프레드릭 배크만
148,숲속의 자본주의자 : 자본주의의 변두리에서 발견한 단순하지만 완전한 삶,박혜윤
149,니체와 함께 산책을 : 세상의 속도에 휩쓸리지 않고 나를 여행하는 법,시라토리 하루히코
150,플라멩코 추는 남자 : 허태연 장편소설,허태연
151,웰씽킹 : 부를 창조하는 생각의 뿌리,켈리 최
152,럭키 드로우 = Lucky draw : 나만의 길을 찾을 때까지 인생의 레버를 당기는 법,드로우앤드류
153,내가 틀릴 수도 있습니다 : 숲속의 현자가 전하는 마지막 인생 수업,비욘 나티코 린데블라드
154,(전세부터 매매까지 알면 알수록 많이 받고 싸게 받는) 대출의 마법,레오(김은진)
155,(50대 사건으로 보는) 돈의 역사 = (The) history of money,홍춘욱
156,픽사 스토리텔링 : 고객의 마음을 사로잡는 9가지 스토리 법칙,매튜 룬
157,마음은 단단하게 인생은 유연하게 : 정신과 의사가 권하는 인생이 편해지는 유연함의 기술,정두영
158,미식가의 어원 사전 : 모든 메뉴에는 이름이 있다,앨버트 잭
159,"나를 알고 싶을 때 뇌과학을 공부합니다 : 뇌가 멈춘 순간, 삶이 시작되었다",질 볼트 테일러
160,메이커스 랩 : 그 멋진 작품은 어떻게 탄생했을까,론 M. 버크먼
161,뛰는 사람 : 달리기를 멈추지 않는 생물학자 베른트 하인리히의 80년 러닝 일지,베른트 하인리히
162,노력의 기쁨과 슬픔 : 너무 열심인 나를 위한 애쓰기의 기술,올리비에 푸리올
163,"계속 가보겠습니다 : 내부 고발 검사, 10년의 기록과 다짐",임은정
164,"부동산, 누구에게나 공평한 불행 : 우리는 왜 부동산 때문에 좌절하는가",마강래
165,90일 밤의 클래식 = 90 nights classics : 하루의 끝에 차분히 듣는 아름다운 고전음악 한 곡,김태용
166,90일 밤의 미술관 = 90 nights museum : 하루 1작품 내 방에서 즐기는 유럽 미술관 투어,이용규
167,세금의 세계사 : 뺏고 싶은 자와 뺏기기 싫은 자의 잔머리 진화사,도미닉 프리스비
168,타이탄의 도구들 : 세계 최고들이 매일 실천하는 것들,팀 페리스
169,나는 버리지 않기로 했다 : 진정한 미니멀리즘을 실천하는 삶의 지혜,조석경
170,나의 하루는 4시 30분에 시작된다 : 하루를 두 배로 사는 단 하나의 습관,김유진
171,주린이가 가장 알고 싶은 최다질문 Top 77 : 염블리 염승환과 함께라면 주식이 쉽고 재미있다,염승환
172,"다가올 미래, 부의 흐름 : 돈의 흐름을 아는 사람이 승자다",곽수종
173,(3년 후 부의 흐름이 보이는) 경제지표 정독법 : 거시경제의 거장 김영익이 미래를 읽는 법,김영익
174,집 떠난 뒤 맑음. 상,에쿠니 가오리
175,집 떠난 뒤 맑음. 하,에쿠니 가오리
176,마르타의 일 : 박서련 장편소설,박서련
177,9번의 일 : 김혜진 장편소설,김혜진
178,그 영화의 뒷모습이 좋다 : 이 책을 읽는 순간 당신은 그 영화를 다시 볼 수밖에 없다,주성철
179,방금 떠나온 세계 : 김초엽 소설집,김초엽
180,서영동 이야기 : 조남주 연작소설,조남주
181,내밀 예찬 : 은둔과 거리를 사랑하는 어느 내향인의 소소한 기록,김지선
182,관계를 읽는 시간 : 나의 관계를 재구성하는 바운더리 심리학,문요한
183,어린이라는 세계 : 김소영 에세이,김소영
184,나의 아름다운 할머니 : 심윤경 에세이,심윤경
185,나의 스페인어 사춘기 100시간 : 누구나 말할 수 있는 100시간 실전 회화 프로젝트,시원스쿨 스페인어연구소
186,불편한 편의점 : 김호연 장편소설,김호연
187,관계를 정리하는 중입니다 : 이평 산문집,이평
188,아가미 : 구병모 장편소설,구병모
189,아주 작은 습관의 힘 : 최고의 변화는 어떻게 만들어지는가,제임스 클리어
190,돈의 감각 = The sense of money : 절호의 투자 타이밍을 귀신같이 눈치채는 비결,이명로
191,마지막 몰입 : 나를 넘어서는 힘,짐 퀵
192,(된다!) 포토샵＆일러스트레이터 : 오늘 바로 되는 입문서,박길현
193,(된다!) 네이버 블로그＆포스트 : 내 글이 네이버 메인에 뜬다! 만들기부터 검색 상위 노출까지!,황윤정
194,욕구들 : 여성은 왜 원하는가,캐럴라인 냅
195,알고리즘이 지배한다는 착각 : 수학으로 밝혀낸 빅데이터의 진실,데이비드 섬프터
